VALUE,latitude,longitude
4.71171761,47.9345187477355,"8"
4.31848288,47.9345187477355,"8"
4.31848288,47.9345187477355,"8"
4.07160521,47.9345187477355,"8"
4.51959419,47.9345187477355,"8"
5.07985401,47.9345187477355,"8"
5.07985401,47.9345187477355,"8"
4.97934961,47.9345187477355,"8"
4.24957228,47.9345187477355,"8"
4.11234140,47.9345187477355,"8"
4.11234140,47.9345187477355,"8"
4.19582224,47.9345187477355,"8"
5.00413227,47.9345187477355,"8"
5.55988503,47.9345187477355,"8"
5.55988503,47.9345187477355,"8"
6.00280762,47.9345187477355,"8"
6.02068996,47.9345187477355,"8"
6.44686890,47.9345187477355,"8"
6.44686890,47.9345187477355,"8"
6.56178808,47.9345187477355,"8"
5.18248177,47.9345187477355,"8"
4.47218132,47.9345187477355,"8"
4.47218132,47.9345187477355,"8"
4.75620842,47.9345187477355,"8"
4.84787083,47.9320187477355,"8"
4.81113291,47.9320187477355,"8"
4.81113291,47.9320187477355,"8"
4.43879318,47.9320187477355,"8"
4.58936501,47.9320187477355,"8"
4.67706013,47.9320187477355,"8"
4.67706013,47.9320187477355,"8"
4.72374725,47.9320187477355,"8"
4.14032125,47.9320187477355,"8"
4.34856987,47.9320187477355,"8"
4.34856987,47.9320187477355,"8"
4.32279730,47.9320187477355,"8"
4.03423262,47.9320187477355,"8"
4.54759884,47.9320187477355,"8"
4.54759884,47.9320187477355,"8"
4.66921329,47.9320187477355,"8"
4.84026432,47.9320187477355,"8"
5.29553890,47.9320187477355,"8"
5.29553890,47.9320187477355,"8"
5.85832024,47.9320187477355,"8"
4.40820980,47.9320187477355,"8"
5.35914993,47.9320187477355,"8"
5.35914993,47.9320187477355,"8"
6.05920506,47.9320187477355,"8"
5.38359213,47.9295187477355,"8"
4.83363438,47.9295187477355,"8"
4.83363438,47.9295187477355,"8"
4.78160667,47.9295187477355,"8"
5.22871542,47.9295187477355,"8"
5.16483116,47.9295187477355,"8"
5.16483116,47.9295187477355,"8"
4.69440460,47.9295187477355,"8"
4.18819094,47.9295187477355,"8"
4.87502003,47.9295187477355,"8"
4.87502003,47.9295187477355,"8"
5.33451366,47.9295187477355,"8"
4.72491837,47.9295187477355,"8"
